model,fold,train_stories,test_stories,story_overlap,rows,positives,weighted_positive_prevalence,random_classifier_pr_auc,weighted_log_loss,weighted_brier,weighted_roc_auc,weighted_pr_auc,pr_auc_delta_full_vs_context,full_beats_context_pr_auc,bootstrap_pr_delta_2_5pct,bootstrap_pr_delta_97_5pct
XGB_base,1,80,20,0,93138,15523,0.0001792684114219165,0.0001792684114219165,0.0016414181331413154,0.00017920073932028302,0.7746835239587299,0.0006229798043882604,,,,
XGB_context,1,80,20,0,93138,15523,0.0001792684114219165,0.0001792684114219165,0.0015131808638704917,0.00018114470143142341,0.9074012289014033,0.007216647272745314,,,,
XGB_full,1,80,20,0,93138,15523,0.0001792684114219165,0.0001792684114219165,0.0014927653586151097,0.00017961445553570663,0.9094185323399132,0.019780275439991307,0.012563628167245993,1,,
XGB_base,2,80,20,0,48642,8107,0.0001166309506259768,0.0001166309506259768,0.0011198492548684946,0.00011659361653204243,0.7643080770155855,0.0005972068738574269,,,,
XGB_context,2,80,20,0,48642,8107,0.0001166309506259768,0.0001166309506259768,0.0009535754814774073,0.00011631974013870324,0.907347830000351,0.01066138275347276,,,,
XGB_full,2,80,20,0,48642,8107,0.0001166309506259768,0.0001166309506259768,0.0009633335452642684,0.00011890656174187046,0.909885609903494,0.015717959453892805,0.005056576700420045,1,,
XGB_base,3,80,20,0,47778,7963,0.00011582107777221742,0.00011582107777221742,0.001119096671508645,0.00011579145597316799,0.755300010596535,0.0004764354791756966,,,,
XGB_context,3,80,20,0,47778,7963,0.00011582107777221742,0.00011582107777221742,0.0009653057621779776,0.00011659258734395709,0.9168099410901448,0.012444672611548638,,,,
XGB_full,3,80,20,0,47778,7963,0.00011582107777221742,0.00011582107777221742,0.0009639511274803841,0.00011847586491083222,0.9190429069012601,0.00798492441187137,-0.004459748199677269,0,,
XGB_base,4,80,20,0,106482,17747,0.0001691028968878434,0.0001691028968878434,0.001568369185529773,0.00016904097848803958,0.7728083132767513,0.0006303028874050759,,,,
XGB_context,4,80,20,0,106482,17747,0.0001691028968878434,0.0001691028968878434,0.0013916687369849414,0.000168328967923244,0.8957126841415848,0.011099810420957472,,,,
XGB_full,4,80,20,0,106482,17747,0.0001691028968878434,0.0001691028968878434,0.001390950499636434,0.00016901830219586582,0.8970749292122648,0.011531697313100768,0.0004318868921432961,1,,
XGB_base,5,80,20,0,50298,8383,0.00010572068992240198,0.00010572068992240198,0.001036896864937419,0.00010569494867678331,0.7344300856381816,0.0004833743929905529,,,,
XGB_context,5,80,20,0,50298,8383,0.00010572068992240198,0.00010572068992240198,0.0009079742361776772,0.00010575630324090509,0.8808384908757292,0.015294533426429535,,,,
XGB_full,5,80,20,0,50298,8383,0.00010572068992240198,0.00010572068992240198,0.000932954729868283,0.00011082079167053555,0.8831282153023505,0.010044659355020625,-0.00524987407140891,0,,
XGB_base,mean,,,0,,,0.00013730880532607123,0.00013730880532607123,0.0012971260219971294,0.00013726434779806328,0.7603060020971566,0.0005620598875634025,,,,
XGB_base,std,,,0,,,3.4126888032529576e-05,3.4126888032529576e-05,0.0002841437257543514,3.410794030422545e-05,0.016383379740306202,7.603716247140137e-05,,,,
XGB_context,mean,,,0,,,0.00013730880532607123,0.00013730880532607123,0.001146341016137699,0.00013762846001564658,0.9016220350018426,0.011343409297030744,,,,
XGB_context,std,,,0,,,3.4126888032529576e-05,3.4126888032529576e-05,0.0002835084658428913,3.445500076936545e-05,0.013817854716565844,0.002931673080232791,,,,
XGB_full,mean,,,0,,,0.00013730880532607123,0.00013730880532607123,0.0011487910521728957,0.00013936719521096214,0.9037100387318565,0.013011903194775373,0.0016684938977446309,3,-0.003924021636611604,0.005472954944126592
XGB_full,std,,,0,,,3.4126888032529576e-05,3.4126888032529576e-05,0.00027023375258437176,3.2283945188887914e-05,0.013905552478145481,0.0047275697897490535,0.007367689924185427,,,
