network,b_ratio,b_value,num_nodes,num_edges,n_repeats,cascades_per_repeat,total_cascades,mean_final_cascade_size,final_cascade_size_ci_low,final_cascade_size_ci_high,global_cascade_probability,global_cascade_probability_ci_low,global_cascade_probability_ci_high,global_threshold
friendster,0.0,0.0,2368,66848,10,50,500,0.07455574324324324,0.0741415815277888,0.07496990495869768,0.0,0.0,0.0,0.5
friendster,0.25,0.05,2368,66848,10,50,500,0.07456672297297298,0.07408287711193044,0.07505056883401552,0.0,0.0,0.0,0.5
friendster,0.5,0.1,2368,66848,10,50,500,0.07460641891891892,0.07410281277901974,0.0751100250588181,0.0,0.0,0.0,0.5
friendster,0.75,0.15000000000000002,2368,66848,10,50,500,0.07478547297297297,0.07436135881168111,0.07520958713426483,0.0,0.0,0.0,0.5
friendster,1.0,0.2,2368,66848,10,50,500,0.0750152027027027,0.07453286479684235,0.07549754060856306,0.0,0.0,0.0,0.5
friendster,1.25,0.25,2368,66848,10,50,500,0.07440962837837838,0.0738656489074376,0.07495360784931915,0.0,0.0,0.0,0.5
friendster,1.5,0.30000000000000004,2368,66848,10,50,500,0.07506925675675677,0.07476009210001068,0.07537842141350286,0.0,0.0,0.0,0.5
friendster,2.0,0.4,2368,66848,10,50,500,0.07580658783783784,0.07532029890081951,0.07629287677485616,0.0,0.0,0.0,0.5
youtube,0.0,0.0,3269,14510,10,50,500,0.9638776384215356,0.963164711351063,0.9645905654920083,1.0,1.0,1.0,0.5
youtube,0.25,0.05,3269,14510,10,50,500,0.9963181401040073,0.9962436429306278,0.9963926372773868,1.0,1.0,1.0,0.5
youtube,0.5,0.1,3269,14510,10,50,500,0.9992058733557663,0.9991638443703003,0.9992479023412323,1.0,1.0,1.0,0.5
youtube,0.75,0.15000000000000002,3269,14510,10,50,500,0.9998335882532885,0.999805222602469,0.999861953904108,1.0,1.0,1.0,0.5
youtube,1.0,0.2,3269,14510,10,50,500,0.9999504435607218,0.9999393591384672,0.9999615279829764,1.0,1.0,1.0,0.5
youtube,1.25,0.25,3269,14510,10,50,500,0.9999743040685226,0.9999676635126864,0.9999809446243588,1.0,1.0,1.0,0.5
youtube,1.5,0.30000000000000004,3269,14510,10,50,500,0.9999834811869073,0.9999763197130989,0.9999906426607157,1.0,1.0,1.0,0.5
youtube,2.0,0.4,3269,14510,10,50,500,0.9999816457632305,0.9999752005607478,0.9999880909657131,1.0,1.0,1.0,0.5
orkut,0.0,0.0,4621,36745,10,50,500,0.4441670634061891,0.4425528037385546,0.4457813230738236,0.032,0.018674562337810858,0.04532543766218915,0.5
orkut,0.25,0.05,4621,36745,10,50,500,0.4526479117074227,0.450983730975219,0.4543120924396264,0.054000000000000006,0.02783402039118565,0.08016597960881436,0.5
orkut,0.5,0.1,4621,36745,10,50,500,0.4687526509413546,0.4670907101795794,0.47041459170312977,0.092,0.06325333333333333,0.12074666666666667,0.5
orkut,0.75,0.15000000000000002,4621,36745,10,50,500,0.48579961047392334,0.4848873896812337,0.486711831266613,0.182,0.15310523000033857,0.21089476999966142,0.5
orkut,1.0,0.2,4621,36745,10,50,500,0.5002618480848302,0.4988085170419244,0.501715179127736,0.394,0.36305102694218544,0.4249489730578146,0.5
orkut,1.25,0.25,4621,36745,10,50,500,0.5184587751568924,0.5165437269231884,0.5203738233905965,0.8459999999999999,0.8248901539560326,0.8671098460439671,0.5
orkut,1.5,0.30000000000000004,4621,36745,10,50,500,0.5400588617182429,0.5380371616667929,0.5420805617696929,0.998,0.99408,1.0,0.5
orkut,2.0,0.4,4621,36745,10,50,500,0.6084358363990477,0.6068558279651584,0.6100158448329371,1.0,1.0,1.0,0.5
